Ticker,Company,Industry,Institutional Ownership,Market Cap ($M),PB Ratio,PS Ratio,Operating Margin %,Net Margin %,Price,Avg Daily TradeVolume
AIR,AAR Corp,Aerospace & Defense,22.04,"1,620.70",1.75,0.74,5.01,0.18,$46.42 ,"172,166"
AIRG,Airgain Inc,Hardware,64.84,103.18,2.17,1.77,2.68,3.61,$10.64 ,"68,139"
AIT,Applied Industrial Technologies Inc,Industrial Distribution,83.46,"2,587.61",2.79,0.75,7.51,3.86,$66.94 ,"193,265"
AIV,Apartment Investment & Management Co,REITs,74.88,"7,567.81",4.43,8.17,20.32,37.98,$50.83 ,"1,031,350"
AJG,Arthur J. Gallagher & Co,Insurance,98.07,"17,635.75",3.65,2.54,10.1,9.71,$94.55 ,"753,832"
AJRD,Aerojet Rocketdyne Holdings Inc,Aerospace & Defense,99.48,"3,552.16",6.17,1.93,12.88,7.34,$45.14 ,"500,511"
AJX,Great Ajax Corp,REITs,53.91,304.81,0.92,7.44,-20.07,63.77,$14.98 ,"189,094"
AKAM,Akamai Technologies Inc,Software,88.69,"13,952.66",3.98,5.03,19.61,15.98,$86.34 ,"1,408,313"
AKO.B,Embotelladora Andina SA,Beverages - Non-Alcoholic,2.14,"2,631.44",2.05,0.98,12.68,7.33,$16.68 ,"12,779"
AKR,Acadia Realty Trust,REITs,89.54,"2,234.58",1.47,7.31,13.66,13.34,$25.70 ,"564,093"
AKS,AK Steel Holding Corp,Steel,90.47,"1,034.76",7.67,0.16,5.25,1.5,$3.27 ,"9,499,538"
AL,Air Lease Corp,Business Services,92.54,"5,457.13",1,2.85,57.98,29.22,$48.42 ,"542,022"
ALB,Albemarle Corp,Chemicals,88.11,"7,686.33",1.99,2.18,20.18,16.27,$72.49 ,"1,631,976"
ALC,Alcon Inc,Medical Devices & Instruments,37.53,"27,822.65",1.41,3.78,-3.41,-4.33,$57 ,"1,398,570"
ALCO,Alico Inc,Consumer Packaged Goods,39.11,262.8,1.35,2.12,36.98,30.95,$35.16 ,"15,823"
ALE,ALLETE Inc,Utilities - Regulated,95.37,"4,148.42",1.87,2.99,13.87,14.23,$80.29 ,"257,408"
ALEX,Alexander & Baldwin Inc,REITs,45.85,"1,497.89",1.33,2.38,30.4,-28.41,$20.73 ,"357,103"
ALG,Alamo Group Inc,Farm & Heavy Construction Machinery,88.34,"1,449.89",2.62,1.34,9.4,6.5,$122.60 ,"110,006"
ALGT,Allegiant Travel Co,Transportation,98.51,"2,914.49",3.5,1.6,18.66,11.89,$178.93 ,"144,249"
ALK,Alaska Air Group Inc,Transportation,75.83,"8,507.58",2.01,1,10.63,7.09,$69.07 ,"813,036"
ALKS,Alkermes PLC,Biotechnology,81.8,"3,268.58",3.07,3.03,-15.41,-18.71,$20.75 ,"1,730,829"
ALLT,Allot Ltd,Hardware,67.54,285.12,2.13,2.66,-7.96,-8.26,$8.30 ,"89,027"
ALRM,Alarm.com Holdings Inc,Software,99.44,"2,071.11",6.17,4.51,9.27,10.23,$42.64 ,"344,825"
ALSN,Allison Transmission Holdings Inc,Vehicles & Parts,96.31,"5,822.07",7.84,2.24,34.24,23.61,$48.83 ,"1,169,428"
ALTM,Altus Midstream Co,Oil & Gas,23.79,942.3,2.13,3.75,-3.2,-8.21,$2.90 ,"741,563"
ALTR,Altair Engineering Inc,Software,72.57,"2,647.74",7.72,6.26,0.11,-3.85,$36.89 ,"417,055"
ALV,Autoliv Inc,Vehicles & Parts,53.82,"7,453.28",3.72,0.87,7.83,4.88,$85.44 ,"450,716"
ALX,Alexander's Inc,REITs,17.49,"1,673.05",6.4,7.34,44.04,24.39,$327.58 ,"15,448"
ALXN,Alexion Pharmaceuticals Inc,Biotechnology,86.03,"24,105.19",2.34,5.17,42.7,31.05,$108.93 ,"1,734,118"
ALYA,Alithya Group Inc,Software,51.55,158.83,1.42,0.73,-2.55,-4.45,$2.83 ,"22,402"
AM,Antero Midstream Corp,Oil & Gas,72.35,"3,610.94",1.07,6.24,44.36,-34.18,$7.46 ,"8,032,348"
AMAT,Applied Materials Inc,Semiconductors,98.63,"56,117.27",6.9,3.98,22.93,18.52,$61.31 ,"7,507,872"
AMBA,Ambarella Inc,Semiconductors,99.11,"2,041.18",4.53,8.95,-22.55,-16.33,$60.85 ,"638,676"
AMC,AMC Entertainment Holdings Inc,Media - Diversified,68.71,762.25,0.65,0.17,3.85,0.64,$7.34 ,"3,510,501"
AMCR,Amcor PLC,Packaging & Containers,40.9,"17,578.55",3.13,1.38,9.75,4.55,$10.85 ,"6,553,539"
AMCX,AMC Networks Inc,Media - Diversified,97.66,"2,211.22",3.54,0.73,26.03,15.12,$39.80 ,"585,356"
AME,AMETEK Inc,Industrial Products,85.09,"22,875.28",4.69,4.48,22.67,16.62,$100.07 ,"1,053,085"
AMED,Amedisys Inc,Healthcare Providers & Services,21.94,"5,312.76",8.82,2.86,9.12,6.7,$164.71 ,"255,732"
AMEH,Apollo Medical Holdings Inc,Healthcare Providers & Services,15.94,659.82,5.06,1.46,6,0.88,$18.91 ,"158,280"
AMG,Affiliated Managers Group Inc,Asset Management,27.75,"4,175.32",1.37,1.94,32.15,-7.03,$84.74 ,"695,635"
AMH,American Homes 4 Rent,REITs,57.45,"7,791.41",1.47,6.87,21.28,11.96,$25.91 ,"1,999,383"
AMK,AssetMark Financial Holdings Inc,Asset Management,24.53,"2,095.98",2.47,5.13,9.44,2.56,$28.95 ,"153,218"
AMKR,Amkor Technology Inc,Semiconductors,52.96,"3,330.58",1.79,0.84,4.81,1.26,$13.89 ,"1,177,301"
AMN,AMN Healthcare Services Inc,Healthcare Providers & Services,97.08,"2,876.02",4.08,1.35,8.32,5.64,$61.57 ,"283,533"
AMOT,Allied Motion Technologies Inc,Hardware,64.99,453.21,3.99,1.25,7.72,4.53,$47.21 ,"36,453"
AMPH,Amphastar Pharmaceuticals Inc,Drug Manufacturers,79.03,912.95,2.36,2.92,0.53,15.77,$19.45 ,"256,974"
AMPY,Amplify Energy Corp,Oil & Gas,63.45,256.18,0.55,1.05,-4.05,-8.1,$6.58 ,"288,574"
AMRC,Ameresco Inc,Construction,43.51,812.25,2,1.07,6.77,4.35,$17.27 ,"117,501"
AMRX,Amneal Pharmaceuticals Inc,Drug Manufacturers,43.69,"1,426.34",6.31,0.35,2.61,-19.61,$4.58 ,"3,773,340"
AMSC,American Superconductor Corp,Industrial Products,62.69,177.39,2.32,3.01,-35.15,8.1,$8.15 ,"241,513"
AMSWA,American Software Inc,Software,98.09,488.24,4.06,4.46,4.39,6.51,$15.28 ,"79,146"
AMWD,American Woodmark Corp,"Furnishings, Fixtures & Appliances",98.73,"1,780.49",2.64,1.08,8.91,5.43,$105.22 ,"143,991"
AMX,America Movil SAB de CV,Telecommunication Services,10.6,"53,365.85",5.35,0.98,14.21,5.96,$16.17 ,"2,400,796"
AN,AutoNation Inc,Vehicles & Parts,92.97,"4,335.71",1.42,0.21,3.75,1.82,$48.60 ,"470,634"
ANDE,Andersons Inc,Retail - Defensive,96.01,817.63,0.86,0.11,1.1,0.5,$25.08 ,"258,605"
ANET,Arista Networks Inc,Hardware,89.61,"15,708.41",5.9,6.8,33.56,31.36,$205.61 ,"1,118,684"
ANF,Abercrombie & Fitch Co,Retail - Cyclical,20.58,"1,091.80",1.1,0.32,2.6,1.48,$17.40 ,"2,278,856"
ANGI,ANGI Homeservices Inc,Interactive Media,16.65,"4,303.99",3.28,3.44,3.92,5.58,$8.56 ,"1,981,276"
ANGO,AngioDynamics Inc,Medical Devices & Instruments,99.93,595.52,0.97,2.4,0.66,-4.76,$15.83 ,"330,919"
ANIK,Anika Therapeutics Inc,Biotechnology,99.91,756.15,2.68,6.77,35.07,27.6,$52.99 ,"164,953"
ANIP,ANI Pharmaceuticals Inc,Drug Manufacturers,91.99,767.78,3.61,3.54,15.05,7.58,$63.50 ,"194,863"
AOBC,American Outdoor Brands Corp,Aerospace & Defense,96,507.66,1.16,0.83,4.82,0.53,$9.22 ,"951,219"
AOS,A.O. Smith Corp,Industrial Products,75.21,"7,786.96",4.95,2.64,16.4,13.26,$47.74 ,"1,353,529"
AOSL,Alpha & Omega Semiconductor Ltd,Semiconductors,88.41,339.33,1.17,0.77,-1.88,0.1,$13.82 ,"110,568"
APA,Apache Corp,Oil & Gas,98.6,"9,878.46",1.56,1.53,14.14,-14.44,$26.27 ,"6,322,903"
APD,Air Products & Chemicals Inc,Chemicals,13.09,"52,052.44",4.73,5.88,24.33,19.73,$236.08 ,"1,081,958"
APEI,American Public Education Inc,Education,85.53,429.75,1.46,1.6,8.12,4.64,$27.91 ,"137,433"
APH,Amphenol Corp,Hardware,89.14,"32,018.14",7.71,3.98,20.25,14.15,$107.99 ,"1,021,195"
APHA,Aphria Inc,Drug Manufacturers,17.01,"1,217.24",0.92,6.66,-26.93,-6.96,$4.82 ,"4,489,982"
APLE,Apple Hospitality REIT Inc,REITs,42.84,"3,604.09",1.08,2.85,19.31,14.2,$16.10 ,"1,466,887"
APOG,Apogee Enterprises Inc,Construction,15.12,864.04,1.68,0.63,4.11,2.71,$32.54 ,"184,215"
APTS,Preferred Apartment Communities Inc,REITs,41.7,602.88,0.32,1.25,-2.6,4.57,$13.16 ,"277,450"
APTV,Aptiv PLC,Vehicles & Parts,92.78,"24,436.18",6.86,1.71,9.96,6.99,$95.72 ,"1,206,704"
APY,Apergy Corp,Oil & Gas,43.76,"2,629.91",2.55,2.21,11.95,6.59,$33.95 ,"654,786"
AQN,Algonquin Power & Utilities Corp,Utilities - Independent Power Producers,69.6,"7,464.12",2.16,4.31,21.73,25,$14.17 ,"823,108"
AQUA,Evoqua Water Technologies Corp,Industrial Products,71.88,"2,164.46",5.97,1.52,4.13,-0.66,$18.92 ,"677,274"
AR,Antero Resources Corp,Oil & Gas,98.64,860.22,0.12,0.22,4.7,0.52,$2.89 ,"11,721,939"
ARAY,Accuray Inc,Medical Devices & Instruments,91.37,269.74,6.56,0.66,0.24,-4.02,$3.03 ,"449,988"
ARCB,ArcBest Corp,Transportation,99.87,697.34,0.92,0.24,3.76,2,$27.34 ,"170,005"
ARCH,Arch Coal Inc,Other Energy Sources,26.57,"1,074.90",1.54,0.54,11.5,13.71,$71.46 ,"293,601"
ARCO,Arcos Dorados Holdings Inc,Restaurants,47.66,"1,679.48",4.5,0.56,4.77,1.97,$8.23 ,"530,634"
ARLO,Arlo Technologies Inc,Business Services,76.89,332.36,1.85,0.88,-38.21,-39.12,$4.39 ,"924,229"
ARLP,Alliance Resource Partners LP,Other Energy Sources,29.2,"1,386.37",1.02,0.67,16.1,20.8,$10.82 ,"771,197"
ARMK,Aramark,Restaurants,86.41,"10,932.44",3.25,0.68,4.53,2.76,$43.75 ,"2,473,857"
ARNA,Arena Pharmaceuticals Inc,Biotechnology,11.9,"2,340.50",2.03,2.94,65.5,68.29,$46.71 ,"357,111"
ARNC,Arconic Inc,Industrial Products,98.87,"13,507.76",2.93,1.04,10.28,2.66,$31.20 ,"3,082,091"
AROC,Archrock Inc,Oil & Gas,88.74,"1,526.70",1.43,1.38,20.82,6.74,$10.05 ,"867,771"
ARTNA,Artesian Resources Corp,Utilities - Regulated,59.26,343.58,2.19,4.21,29.41,18.03,$37.01 ,"10,910"
ARW,Arrow Electronics Inc,Hardware,25.58,"6,905.20",1.47,0.24,3.38,-0.29,$84.78 ,"559,770"
ASC,Ardmore Shipping Corp,Oil & Gas,91.07,299.22,0.93,1.32,2.52,-18.34,$9.04 ,"237,750"
ASGN,ASGN Inc,Business Services,91.36,"3,756.74",2.81,0.99,7.87,4.74,$71.15 ,"254,979"
ASH,Ashland Global Holdings Inc,Chemicals,98.35,"4,632.15",1.31,1.93,6.66,20.26,$76.91 ,"621,209"
ASIX,AdvanSix Inc,Chemicals,86.41,572.2,1.35,0.45,6.61,4.73,$20.50 ,"165,514"
ASPN,Aspen Aerogels Inc,Construction,74.71,189.31,3.21,1.47,-15.49,-21.56,$7.79 ,"53,986"
ASPS,Altisource Portfolio Solutions SA,Banks,72.54,302.32,1.06,0.43,3.61,-1.84,$19.27 ,"95,507"
ASPU,Aspen Group Inc,Education,36.01,145.4,5.76,3.45,-13.98,-16.23,$7.60 ,"90,608"
ASR,Grupo Aeroportuario del Sureste SAB de CV,Transportation,26.06,"5,676",3.56,6.63,53.2,34.99,$189.20 ,"57,825"
ASRT,Assertio Therapeutics Inc,Drug Manufacturers,98.42,108.91,0.45,0.43,-6.89,-22.88,$1.35 ,"2,855,644"
ASTE,Astec Industries Inc,Farm & Heavy Construction Machinery,99.76,954.38,1.54,0.8,-0.29,-0.53,$42.33 ,"189,709"
ASUR,Asure Software Inc,Software,53.09,127.22,1.35,1.24,-5.69,-9.43,$8.16 ,"172,515"
ASX,ASE Technology Holding Co Ltd,Semiconductors,17.04,"11,800.58",1.76,0.86,5.69,3.87,$5.55 ,"406,580"
ATEC,Alphatec Holdings Inc,Medical Devices & Instruments,41.26,446.11,7.65,3.26,-31.78,-47.55,$7.27 ,"373,249"
ATEN,A10 Networks Inc,Software,83.14,536.97,5.23,2.48,-9.15,-9.1,$6.99 ,"303,826"
ATGE,Adtalem Global Education Inc,Education,99.88,"1,896.31",1.44,1.66,17.04,9.84,$35.12 ,"606,412"
ATHM,Autohome Inc,Interactive Media,86.27,"9,743.49",5.22,8.21,31.4,37.61,$82.53 ,"952,535"
ATI,Allegheny Technologies Inc,Industrial Products,97.3,"2,626.35",1.21,0.71,8.26,5.85,$20.83 ,"1,253,106"
ATKR,Atkore International Group Inc,Industrial Products,19.51,"1,908.81",8.15,1,11.67,7.26,$40.47 ,"449,735"
ATNI,ATN International Inc,Telecommunication Services,98.84,891.9,1.31,2.05,3.54,0.02,$55.75 ,"59,984"
ATO,Atmos Energy Corp,Utilities - Regulated,97.68,"13,509.65",2.3,4.46,25.71,17.62,$110.50 ,"840,426"
ATR,AptarGroup Inc,Packaging & Containers,83.27,"7,340.10",4.72,2.62,13.45,8.16,$114.82 ,"278,819"
ATRC,AtriCure Inc,Medical Devices & Instruments,99.98,"1,271.16",4.92,5.38,-9.17,-10.13,$32.14 ,"191,654"
ATRI,Atrion Corp,Medical Devices & Instruments,94.57,"1,385.92",5.97,8.95,26.21,23.43,$747.19 ,"14,053"
ATRO,Astronics Corp,Aerospace & Defense,94.17,873.34,2.05,1.2,7.35,12.68,$28.30 ,"246,686"
ATSG,Air Transport Services Group Inc,Transportation,98.51,"1,421.94",2.96,1.14,11.84,7.3,$23.95 ,"378,339"
ATTO,Atento S.A,Business Services,78.09,211.15,0.92,0.12,2.72,-2.16,$2.80 ,"78,321"
ATUS,Altice USA Inc,Telecommunication Services,68.18,"17,372.66",8.33,1.91,20.25,3.61,$27.28 ,"5,818,450"
ATVI,Activision Blizzard Inc,Interactive Media,99.9,"45,242.85",3.67,6.58,28.33,23.68,$58.89 ,"6,773,497"
AU,Anglogold Ashanti Ltd,Metals & Mining,47.41,"9,114.23",3.15,2.26,11.48,5.92,$21.98 ,"2,816,747"
AUDC,AudioCodes Ltd,Hardware,35.64,738.8,7.52,3.98,11.14,8.66,$25.31 ,"257,398"
AUY,Yamana Gold Inc,Metals & Mining,61.52,"3,709.08",0.87,2.14,14.8,8.63,$3.90 ,"15,760,634"
AVA,Avista Corp,Utilities - Regulated,85.56,"3,182.73",1.69,2.34,17.37,14.19,$47.71 ,"323,305"
AVAV,AeroVironment Inc,Aerospace & Defense,99.08,"1,522.21",3.12,4.57,11.98,11.6,$63.45 ,"181,239"
AVD,American Vanguard Corp,Agriculture,97.61,583.81,1.72,1.21,6.69,3.75,$19.34 ,"141,150"
AVGO,Broadcom Inc,Semiconductors,98.47,"126,489.98",5.31,5.89,18.5,11.93,$317.98 ,"2,176,293"
AVH,Avianca Holdings SA,Transportation,6.76,569.51,0.98,0.12,-4.61,-11.16,$4.57 ,"164,979"
AVNS,Avanos Medical Inc,Medical Devices & Instruments,97,"1,613.32",1.26,2.33,-8.97,-6.2,$33.66 ,"438,720"
AVT,Avnet Inc,Hardware,25.57,"4,299.98",1.09,0.24,2.82,0.71,$42.59 ,"867,251"
AVTR,Avantor Inc,Chemicals,91.28,"10,371.26",7.68,1.37,8.33,-1.44,$18.14 ,"4,116,602"
AVX,AVX Corp,Hardware,40.34,"3,436.14",1.42,2.07,15.79,13.97,$20.32 ,"546,304"
AVYA,Avaya Holdings Corp,Software,27.65,"1,491.90",1.16,0.52,7.27,-23.24,$13.42 ,"2,748,969"
AWK,American Water Works Co Inc,Utilities - Regulated,97.76,"22,032.99",3.55,6.23,33.31,17.85,$121.88 ,"917,171"
AWR,American States Water Co,Utilities - Regulated,91.74,"3,184.38",5.32,6.76,26.45,17.26,$86.44 ,"264,293"
AXE,Anixter International Inc,Industrial Distribution,98.67,"3,055.67",1.75,0.35,4.24,2.34,$90.33 ,"745,880"
AXGN,Axogen Inc,Medical Devices & Instruments,92.8,719.52,5.29,6.99,-29.26,-26.8,$18.23 ,"364,062"
AXL,American Axle & Mfg Holdings Inc,Vehicles & Parts,98.1,"1,190",0.83,0.18,6.98,-5.77,$10.58 ,"1,975,997"
AXTA,Axalta Coating Systems Ltd,Chemicals,4.03,"7,072.36",5.49,1.56,11.23,6.21,$30.14 ,"2,124,759"
AXTI,AXT Inc,Semiconductors,80.27,162.07,0.86,1.85,2.12,-1.85,$4.03 ,"236,504"
AY,Atlantica Yield PLC,Utilities - Independent Power Producers,58.2,"2,669.07",1.77,2.63,43.73,-1.62,$26.27 ,"438,807"
AYI,Acuity Brands Inc,Industrial Products,18.65,"5,463.24",2.84,1.48,12.65,9,$137.88 ,"411,638"
AYR,Aircastle Ltd,Business Services,82.16,"2,389.82",1.17,2.5,53.81,22.04,$32.02 ,"788,921"
AZN,AstraZeneca PLC,Drug Manufacturers,24.18,"130,797.93",9.13,5.26,5.75,8.48,$49.85 ,"3,009,386"
AZRE,Azure Power Global Ltd,Utilities - Independent Power Producers,58.12,595.46,1.46,3.2,54.99,-1.55,$12.50 ,"22,247"
AZZ,AZZ Inc,Industrial Products,79.15,"1,227.06",1.96,1.27,9.23,6.31,$46.92 ,"183,092"
B,Barnes Group Inc,Industrial Products,99.96,"3,146.29",2.6,2.13,15.47,10.38,$62.04 ,"219,903"
BABA,Alibaba Group Holding Ltd,Retail - Cyclical,61.23,"580,486.95",6.69,8.95,18.29,34.17,$216.38 ,"15,673,534"
BAM,Brookfield Asset Management Inc,Asset Management,88.65,"58,395.31",2.05,0.84,15.09,5.84,$57.93 ,"1,211,682"
BAND,Bandwidth Inc,Software,94.53,"1,528.13",5.66,6.65,-7.85,1.42,$65.05 ,"294,126"
BATRA,Liberty Braves Group,Media - Diversified,19.14,"1,515.74",3.58,3.84,-4.64,-3.16,$29.76 ,"44,781"
BATRK,Liberty Braves Group,Media - Diversified,74.6,"1,519.85",3.58,3.85,-4.64,-3.16,$29.74 ,"74,414"
BAX,Baxter International Inc,Medical Devices & Instruments,16.46,"43,055.16",5.55,4.04,14.16,14.28,$84.33 ,"2,844,963"
BB,BlackBerry Ltd,Software,62.9,"3,552.31",1.54,3.87,-16.44,-5.98,$6.43 ,"4,837,416"
BBBY,Bed Bath & Beyond Inc,Retail - Cyclical,12.32,"2,183.26",1.13,0.19,0.89,-6.36,$17.25 ,"6,075,095"
BBCP,Concrete Pumping Holdings Inc,Construction,32,309.63,0.92,1.47,11.51,-0.99,$5.32 ,"126,874"
BBL,BHP Group PLC,Metals & Mining,2.02,"119,136.79",2.46,2.69,37.83,18.75,$47.12 ,"909,887"
BBSI,Barrett Business Services Inc,Business Services,98.25,679.8,4.24,0.73,5.92,5.71,$90.71 ,"37,930"
BBU,Brookfield Business Partners LP,Conglomerates,91.7,"3,443.47",1.58,0.08,4.71,0.41,$42.53 ,"32,219"
BBX,BBX Capital Corp,Travel & Leisure,40.32,435.78,0.79,0.52,-1.93,2.7,$4.78 ,"205,496"
BBY,Best Buy Co Inc,Retail - Cyclical,98.09,"22,733.59",7.42,0.55,4.76,3.54,$87.85 ,"2,945,666"
BC,Brunswick Corp,Travel & Leisure,17.54,"4,951.53",3.51,0.98,9.68,-2.86,$60.70 ,"842,735"
